08-10-2026 22:13:26 RAM 7628/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@67.5C/67.5C cpu@72.25C/72.25C soc2@64.375C/64.375C soc0@65.812C/65.812C cv1@66.468C/66.468C gpu@71.843C/71.843C tj@72.125C/72.125C soc1@63.656C/63.656C cv2@61.843C/61.843C VDD_IN 31389mW/26703mW/31761mW VDD_CPU_GPU_CV 19116mW/15908mW/20038mW VDD_SOC 5136mW/4512mW/5176mW
08-10-2026 22:13:26 RAM 7628/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@67.656C/67.656C cpu@72.156C/72.25C soc2@64.468C/64.468C soc0@65.687C/65.812C cv1@66.5C/66.5C gpu@71.968C/71.968C tj@72.156C/72.156C soc1@63.875C/63.875C cv2@62.062C/62.062C VDD_IN 31349mW/26848mW/31761mW VDD_CPU_GPU_CV 18997mW/16005mW/20038mW VDD_SOC 5136mW/4532mW/5176mW
08-10-2026 22:13:27 RAM 7626/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@67.812C/67.812C cpu@72.343C/72.343C soc2@64.531C/64.531C soc0@65.937C/65.937C cv1@66.75C/66.75C gpu@72.125C/72.125C tj@72.343C/72.343C soc1@64C/64C cv2@62.156C/62.156C VDD_IN 31269mW/26982mW/31761mW VDD_CPU_GPU_CV 18908mW/16092mW/20038mW VDD_SOC 5176mW/4551mW/5176mW
08-10-2026 22:13:27 RAM 7626/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@67.875C/67.875C cpu@72.687C/72.687C soc2@64.75C/64.75C soc0@66.031C/66.031C cv1@66.875C/66.875C gpu@72.218C/72.218C tj@72.687C/72.687C soc1@64.031C/64.031C cv2@62.218C/62.218C VDD_IN 31269mW/27109mW/31761mW VDD_CPU_GPU_CV 18918mW/16176mW/20038mW VDD_SOC 5176mW/4570mW/5176mW
08-10-2026 22:13:28 RAM 7623/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@68.125C/68.125C cpu@72.562C/72.687C soc2@64.843C/64.843C soc0@66.218C/66.218C cv1@66.875C/66.875C gpu@72.468C/72.468C tj@72.562C/72.687C soc1@64.093C/64.093C cv2@62.437C/62.437C VDD_IN 31389mW/27231mW/31761mW VDD_CPU_GPU_CV 18997mW/16256mW/20038mW VDD_SOC 5176mW/4587mW/5176mW
08-10-2026 22:13:28 RAM 7623/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@68.25C/68.25C cpu@72.75C/72.75C soc2@64.968C/64.968C soc0@66.218C/66.218C cv1@67.125C/67.125C gpu@72.531C/72.531C tj@72.75C/72.75C soc1@64.25C/64.25C cv2@62.687C/62.687C VDD_IN 31430mW/27347mW/31761mW VDD_CPU_GPU_CV 19077mW/16335mW/20038mW VDD_SOC 5176mW/4603mW/5176mW
08-10-2026 22:13:29 RAM 7622/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@68.25C/68.25C cpu@72.781C/72.781C soc2@65.218C/65.218C soc0@66.406C/66.406C cv1@67.187C/67.187C gpu@72.75C/72.75C tj@72.781C/72.781C soc1@64.562C/64.562C cv2@62.75C/62.75C VDD_IN 31510mW/27460mW/31761mW VDD_CPU_GPU_CV 19156mW/16411mW/20038mW VDD_SOC 5136mW/4618mW/5176mW
08-10-2026 22:13:29 RAM 7622/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@68.468C/68.468C cpu@72.937C/72.937C soc2@65.25C/65.25C soc0@66.5C/66.5C cv1@67.312C/67.312C gpu@72.687C/72.75C tj@72.937C/72.937C soc1@64.593C/64.593C cv2@62.875C/62.875C VDD_IN 31359mW/27563mW/31761mW VDD_CPU_GPU_CV 18918mW/16477mW/20038mW VDD_SOC 5176mW/4633mW/5176mW
08-10-2026 22:13:30 RAM 7621/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@68.531C/68.531C cpu@73.312C/73.312C soc2@65.343C/65.343C soc0@66.812C/66.812C cv1@67.531C/67.531C gpu@72.937C/72.937C tj@73.312C/73.312C soc1@64.75C/64.75C cv2@62.937C/62.937C VDD_IN 31229mW/27657mW/31761mW VDD_CPU_GPU_CV 18948mW/16540mW/20038mW VDD_SOC 5176mW/4646mW/5176mW
08-10-2026 22:13:30 RAM 7621/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@68.562C/68.562C cpu@73.218C/73.312C soc2@65.468C/65.468C soc0@66.875C/66.875C cv1@67.656C/67.656C gpu@72.781C/72.937C tj@73.218C/73.312C soc1@64.781C/64.781C cv2@63.187C/63.187C VDD_IN 31389mW/27750mW/31761mW VDD_CPU_GPU_CV 19037mW/16603mW/20038mW VDD_SOC 5176mW/4660mW/5176mW
