08-11-2026 00:06:14 RAM 9251/15599MB (lfb 32x4MB) CPU [100%@1984,69%@1984,0%@1984,0%@1984,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@56.437C/56.437C cpu@60.843C/60.843C soc2@54.218C/54.218C soc0@55.812C/55.812C cv1@55.75C/55.75C gpu@65.656C/66C tj@65.656C/66C soc1@53.718C/53.718C cv2@52.031C/52.031C VDD_IN 32756mW/24184mW/34068mW VDD_CPU_GPU_CV 20309mW/13214mW/20990mW VDD_SOC 5128mW/4696mW/5528mW
08-11-2026 00:06:15 RAM 9298/15599MB (lfb 32x4MB) CPU [100%@1984,68%@1984,0%@1984,0%@1984,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@56.593C/56.593C cpu@61.187C/61.187C soc2@54.531C/54.531C soc0@56.093C/56.093C cv1@55.937C/55.937C gpu@65.75C/66C tj@65.75C/66C soc1@53.937C/53.937C cv2@52.156C/52.156C VDD_IN 32233mW/24435mW/34068mW VDD_CPU_GPU_CV 19951mW/13425mW/20990mW VDD_SOC 4975mW/4705mW/5528mW
08-11-2026 00:06:15 RAM 9346/15599MB (lfb 32x4MB) CPU [100%@1984,68%@1984,0%@1984,1%@1984,0%@1984,1%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@56.906C/56.906C cpu@61.343C/61.343C soc2@54.656C/54.656C soc0@56.187C/56.187C cv1@56.031C/56.031C gpu@65.843C/66C tj@65.843C/66C soc1@54.031C/54.031C cv2@52.343C/52.343C VDD_IN 32153mW/24669mW/34068mW VDD_CPU_GPU_CV 20189mW/13630mW/20990mW VDD_SOC 4895mW/4711mW/5528mW
08-11-2026 00:06:16 RAM 11356/15599MB (lfb 20x4MB) CPU [100%@1984,98%@1984,0%@1984,0%@1984,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@57C/57C cpu@61.562C/61.562C soc2@54.843C/54.843C soc0@56.375C/56.375C cv1@56.25C/56.25C gpu@66.5C/66.5C tj@66.5C/66.5C soc1@54.187C/54.187C cv2@52.656C/52.656C VDD_IN 33667mW/24934mW/34068mW VDD_CPU_GPU_CV 21070mW/13849mW/21070mW VDD_SOC 5288mW/4728mW/5528mW
08-11-2026 00:06:16 RAM 12127/15599MB (lfb 3x4MB) CPU [100%@1984,100%@1984,0%@1984,0%@1984,1%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@57.156C/57.156C cpu@61.75C/61.75C soc2@55.156C/55.156C soc0@56.593C/56.593C cv1@56.531C/56.531C gpu@66.25C/66.5C tj@66.25C/66.5C soc1@54.531C/54.531C cv2@52.687C/52.687C VDD_IN 33587mW/25181mW/34068mW VDD_CPU_GPU_CV 20593mW/14041mW/21070mW VDD_SOC 5528mW/4750mW/5528mW
08-11-2026 00:06:17 RAM 12168/15599MB (lfb 1x4MB) CPU [100%@1984,64%@1984,0%@1984,0%@1984,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@57.156C/57.156C cpu@61.812C/61.812C soc2@55.218C/55.218C soc0@56.906C/56.906C cv1@56.718C/56.718C gpu@66.031C/66.5C tj@66.031C/66.5C soc1@54.625C/54.625C cv2@52.812C/52.812C VDD_IN 32193mW/25376mW/34068mW VDD_CPU_GPU_CV 19911mW/14204mW/21070mW VDD_SOC 5136mW/4761mW/5528mW
08-11-2026 00:06:17 RAM 12275/15599MB (lfb 4x1MB) CPU [100%@1984,52%@1984,0%@1984,0%@1984,0%@1984,0%@1984,4%@1984,100%@1984] GR3D_FREQ 99% cv0@57C/57.156C cpu@61.937C/61.937C soc2@55.343C/55.343C soc0@57.031C/57.031C cv1@56.843C/56.843C gpu@66.5C/66.5C tj@66.5C/66.5C soc1@54.812C/54.812C cv2@52.968C/52.968C VDD_IN 31510mW/25541mW/34068mW VDD_CPU_GPU_CV 19593mW/14350mW/21070mW VDD_SOC 4975mW/4767mW/5528mW
08-11-2026 00:06:18 RAM 12286/15599MB (lfb 2x512kB) CPU [100%@1984,26%@1984,2%@1984,0%@1984,42%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@58.406C/58.406C cpu@62.812C/62.812C soc2@55.437C/55.437C soc0@57.031C/57.031C cv1@57.093C/57.093C gpu@65.312C/66.5C tj@65.312C/66.5C soc1@54.875C/54.875C cv2@53.125C/53.125C VDD_IN 30473mW/25671mW/34068mW VDD_CPU_GPU_CV 18351mW/14455mW/21070mW VDD_SOC 5064mW/4775mW/5528mW
08-11-2026 00:06:18 RAM 12282/15599MB (lfb 3x1MB) CPU [100%@1984,100%@1984,0%@1984,0%@1984,100%@1984,0%@1984,1%@1984,100%@1984] GR3D_FREQ 99% cv0@58.687C/58.687C cpu@62.875C/62.875C soc2@55.625C/55.625C soc0@57.187C/57.187C cv1@57.375C/57.375C gpu@65.156C/66.5C tj@65.156C/66.5C soc1@55C/55C cv2@53.281C/53.281C VDD_IN 30312mW/25790mW/34068mW VDD_CPU_GPU_CV 17833mW/14542mW/21070mW VDD_SOC 5265mW/4787mW/5528mW
08-11-2026 00:06:19 RAM 12281/15599MB (lfb 4x1MB) CPU [100%@1984,100%@1984,0%@1984,0%@1984,100%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@58.781C/58.781C cpu@63.25C/63.25C soc2@55.75C/55.75C soc0@57.437C/57.437C cv1@57.593C/57.593C gpu@65.281C/66.5C tj@65.281C/66.5C soc1@55.343C/55.343C cv2@53.468C/53.468C VDD_IN 30192mW/25900mW/34068mW VDD_CPU_GPU_CV 17595mW/14618mW/21070mW VDD_SOC 5305mW/4800mW/5528mW
