08-10-2026 22:07:00 RAM 10680/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@66.156C/66.156C cpu@70.75C/70.75C soc2@63C/63C soc0@64.406C/64.406C cv1@65.156C/65.156C gpu@70.562C/70.562C tj@70.75C/70.75C soc1@62.437C/62.437C cv2@60.406C/60.406C VDD_IN 28823mW/25152mW/29030mW VDD_CPU_GPU_CV 18859mW/15989mW/19018mW VDD_SOC 4146mW/3765mW/4146mW
08-10-2026 22:07:00 RAM 10680/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@66.093C/66.156C cpu@70.906C/70.906C soc2@63.125C/63.125C soc0@64.531C/64.531C cv1@65.281C/65.281C gpu@70.656C/70.656C tj@70.906C/70.906C soc1@62.531C/62.531C cv2@60.625C/60.625C VDD_IN 28990mW/25262mW/29030mW VDD_CPU_GPU_CV 18979mW/16074mW/19018mW VDD_SOC 4139mW/3776mW/4146mW
08-10-2026 22:07:01 RAM 10680/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@66.406C/66.406C cpu@70.812C/70.906C soc2@63.187C/63.187C soc0@64.625C/64.625C cv1@65.25C/65.281C gpu@70.843C/70.843C tj@70.843C/70.906C soc1@62.625C/62.625C cv2@60.687C/60.687C VDD_IN 28990mW/25365mW/29030mW VDD_CPU_GPU_CV 18939mW/16154mW/19018mW VDD_SOC 4099mW/3785mW/4146mW
08-10-2026 22:07:01 RAM 10680/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@66.468C/66.468C cpu@71.125C/71.125C soc2@63.406C/63.406C soc0@64.781C/64.781C cv1@65.531C/65.531C gpu@70.531C/70.843C tj@71.125C/71.125C soc1@62.718C/62.718C cv2@60.968C/60.968C VDD_IN 28788mW/25458mW/29030mW VDD_CPU_GPU_CV 18699mW/16223mW/19018mW VDD_SOC 4139mW/3794mW/4146mW
08-10-2026 22:07:02 RAM 10679/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@66.5C/66.5C cpu@71.25C/71.25C soc2@63.531C/63.531C soc0@64.906C/64.906C cv1@65.625C/65.625C gpu@71C/71C tj@71.25C/71.25C soc1@62.906C/62.906C cv2@61.031C/61.031C VDD_IN 28990mW/25551mW/29030mW VDD_CPU_GPU_CV 18939mW/16294mW/19018mW VDD_SOC 4099mW/3802mW/4146mW
08-10-2026 22:07:02 RAM 10679/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@66.812C/66.812C cpu@71.281C/71.281C soc2@63.593C/63.593C soc0@64.937C/64.937C cv1@65.687C/65.687C gpu@71.156C/71.156C tj@71.281C/71.281C soc1@62.968C/62.968C cv2@61.187C/61.187C VDD_IN 28949mW/25638mW/29030mW VDD_CPU_GPU_CV 18819mW/16359mW/19018mW VDD_SOC 4139mW/3811mW/4146mW
08-10-2026 22:07:03 RAM 10680/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@66.75C/66.812C cpu@71.468C/71.468C soc2@63.718C/63.718C soc0@65.093C/65.093C cv1@65.843C/65.843C gpu@71.375C/71.375C tj@71.562C/71.562C soc1@63.125C/63.125C cv2@61.375C/61.375C VDD_IN 28990mW/25722mW/29030mW VDD_CPU_GPU_CV 18939mW/16423mW/19018mW VDD_SOC 4099mW/3818mW/4146mW
08-10-2026 22:07:03 RAM 10680/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@67.031C/67.031C cpu@71.531C/71.531C soc2@63.781C/63.781C soc0@65.218C/65.218C cv1@65.843C/65.843C gpu@71.531C/71.531C tj@71.531C/71.562C soc1@63.156C/63.156C cv2@61.375C/61.375C VDD_IN 28990mW/25802mW/29030mW VDD_CPU_GPU_CV 18829mW/16482mW/19018mW VDD_SOC 4139mW/3826mW/4146mW
08-10-2026 22:07:04 RAM 10679/15599MB (lfb 2x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@67.031C/67.031C cpu@71.531C/71.531C soc2@63.968C/63.968C soc0@65.375C/65.375C cv1@65.968C/65.968C gpu@71.437C/71.531C tj@71.531C/71.562C soc1@63.281C/63.281C cv2@61.562C/61.562C VDD_IN 28949mW/25876mW/29030mW VDD_CPU_GPU_CV 18709mW/16535mW/19018mW VDD_SOC 4146mW/3834mW/4146mW
08-10-2026 22:07:04 RAM 10679/15599MB (lfb 2x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@67.187C/67.187C cpu@71.718C/71.718C soc2@64.031C/64.031C soc0@65.468C/65.468C cv1@66.093C/66.093C gpu@71.718C/71.718C tj@71.718C/71.718C soc1@63.531C/63.531C cv2@61.593C/61.593C VDD_IN 29070mW/25951mW/29070mW VDD_CPU_GPU_CV 19068mW/16594mW/19068mW VDD_SOC 4146mW/3841mW/4146mW
