t_s,phase,nvme_mc,nvme_c,tj_mc,tj_c,cpu_c,gpu_c,fan_rpm,fan_pwm,cpu_mhz,vdd_in_mw,sect_read,sect_written,read_mbs,write_mbs,inflight,util_pct
172,04-idle-baseline,39850,39,57500,57,57,56,2060,75,1267,5030,3161467,78342970,0.00,0.05,0,0.0
173,04-idle-baseline,39850,39,57687,57,57,56,2058,75,729,5030,3161467,78342978,0.00,0.00,0,0.4
174,04-idle-baseline,39850,39,57687,57,57,56,2060,75,1267,4989,3161467,78342978,0.00,0.00,0,0.0
175,04-idle-baseline,39850,39,57531,57,57,56,2061,75,1344,5030,3161467,78342986,0.00,0.00,0,0.0
176,04-idle-baseline,39850,39,57500,57,57,56,2061,75,729,4989,3161467,78342994,0.00,0.00,0,0.0
177,04-idle-baseline,39850,39,57375,57,57,56,2059,75,1497,5030,3161467,78343090,0.00,0.05,1,0.0
178,04-idle-baseline,39850,39,57687,57,57,56,2060,75,1497,5030,3161467,78343098,0.00,0.00,0,0.4
179,04-idle-baseline,39850,39,57656,57,57,56,2058,75,729,5030,3161467,78343098,0.00,0.00,0,0.0
181,04-idle-baseline,39850,39,57468,57,57,56,2060,75,1497,4989,3161467,78343106,0.00,0.00,0,0.0
182,04-idle-baseline,39850,39,57437,57,57,56,2060,75,1344,5030,3161467,78343106,0.00,0.00,0,0.0
183,04-idle-baseline,39850,39,57437,57,57,56,2060,75,1497,4989,3161467,78343218,0.00,0.06,0,0.0
184,04-idle-baseline,39850,39,57437,57,57,56,2062,75,1344,5030,3161467,78343226,0.00,0.00,0,0.0
185,04-idle-baseline,39850,39,57437,57,57,56,2061,75,1267,4989,3161467,78343226,0.00,0.00,0,0.0
186,04-idle-baseline,39850,39,57375,57,57,56,2061,75,1267,5030,3161467,78343242,0.00,0.01,0,0.0
187,04-idle-baseline,39850,39,57468,57,57,56,2062,75,1267,5030,3161467,78343242,0.00,0.00,0,0.0
188,04-idle-baseline,39850,39,57406,57,57,56,2059,75,1267,5030,3161467,78343378,0.00,0.07,1,0.0
189,04-idle-baseline,39850,39,57406,57,57,56,2062,75,1267,4989,3161467,78343386,0.00,0.00,0,0.0
190,04-idle-baseline,39850,39,57531,57,57,56,2061,75,1344,4989,3161467,78343386,0.00,0.00,0,0.0
191,04-idle-baseline,39850,39,57500,57,57,56,2061,75,1267,5030,3161467,78343410,0.00,0.01,0,0.0
192,04-idle-baseline,39850,39,57687,57,57,56,2060,75,1267,4989,3161467,78343410,0.00,0.00,0,0.0
193,04-idle-baseline,39850,39,57468,57,57,56,2062,75,1267,4989,3161467,78343546,0.00,0.07,0,0.0
194,04-idle-baseline,39850,39,57375,57,57,56,2061,75,1497,4989,3161467,78343554,0.00,0.00,0,0.0
196,04-idle-baseline,39850,39,57468,57,57,56,2061,75,1497,5030,3161467,78343554,0.00,0.00,0,0.0
197,04-idle-baseline,39850,39,57718,57,57,56,2061,75,1497,5602,3161467,78343562,0.00,0.00,0,0.0
198,04-idle-baseline,39850,39,57687,57,57,56,2061,75,1497,5643,3161467,78343562,0.00,0.00,0,0.0
199,04-idle-baseline,39850,39,57843,57,57,56,2061,75,1497,5684,3161467,78343770,0.00,0.11,0,0.4
200,04-idle-baseline,39850,39,57718,57,57,56,2059,75,1497,5643,3161467,78343770,0.00,0.00,0,0.0
201,04-idle-baseline,39850,39,57812,57,57,56,2059,75,1497,5643,3161467,78343770,0.00,0.00,0,0.0
202,04-idle-baseline,39850,39,57687,57,57,56,2058,75,1497,5643,3161467,78343778,0.00,0.00,0,0.0
203,04-idle-baseline,39850,39,58343,58,58,56,2059,75,1497,5643,3161467,78343778,0.00,0.00,0,0.0
204,04-idle-baseline,39850,39,58093,58,58,56,2059,75,1497,5643,3161467,78343866,0.00,0.05,0,0.0
205,04-idle-baseline,39850,39,58062,58,58,56,2059,75,1267,5684,3161467,78343874,0.00,0.00,0,0.0
206,04-idle-baseline,39850,39,58281,58,58,56,2059,75,1497,5643,3161467,78343874,0.00,0.00,0,0.0
207,04-idle-baseline,39850,39,58218,58,58,56,2058,75,1344,5684,3161467,78343882,0.00,0.00,0,0.0
208,04-idle-baseline,39850,39,58125,58,58,56,2059,75,1267,5643,3161467,78343882,0.00,0.00,0,0.0
209,04-idle-baseline,39850,39,58187,58,58,56,2059,75,1267,5643,3161467,78343986,0.00,0.05,0,0.0
210,04-idle-baseline,39850,39,58156,58,58,56,2058,75,1497,5643,3161467,78343994,0.00,0.00,0,0.0
211,04-idle-baseline,39850,39,58375,58,58,56,2060,75,1420,5643,3161467,78343994,0.00,0.00,0,0.0
212,04-idle-baseline,39850,39,58281,58,58,56,2061,75,1420,5643,3161467,78344002,0.00,0.00,0,0.0
213,04-idle-baseline,39850,39,58125,58,58,56,2060,75,1267,5643,3161467,78344002,0.00,0.00,0,0.0
215,04-idle-baseline,39850,39,58343,58,58,56,2061,75,1344,5643,3161467,78344186,0.00,0.09,0,0.4
216,04-idle-baseline,39850,39,58437,58,58,56,2059,75,1344,5643,3161467,78344186,0.00,0.00,0,0.0
217,04-idle-baseline,39850,39,58250,58,58,56,2060,75,1497,5643,3161467,78344186,0.00,0.00,0,0.0
218,04-idle-baseline,39850,39,58218,58,58,56,2059,75,1497,5684,3161467,78344194,0.00,0.00,0,0.0
219,04-idle-baseline,39850,39,58437,58,58,56,2061,75,1497,5684,3161467,78344194,0.00,0.00,0,0.0
220,04-idle-baseline,39850,39,58187,58,58,56,2059,75,1344,5684,3161467,78344306,0.00,0.06,0,0.0
