08-10-2026 21:55:24 RAM 5142/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@69.562C/69.625C cpu@73.968C/74.093C soc2@66.437C/66.437C soc0@67.812C/67.843C cv1@68.593C/68.625C gpu@73.187C/73.187C tj@73.968C/74.093C soc1@66.156C/66.156C cv2@64.281C/64.312C VDD_IN 25361mW/22605mW/25482mW VDD_CPU_GPU_CV 16720mW/14640mW/16840mW VDD_SOC 3628mW/3382mW/3669mW
08-10-2026 21:55:25 RAM 5142/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@69.687C/69.687C cpu@74.312C/74.312C soc2@66.468C/66.468C soc0@68.062C/68.062C cv1@68.875C/68.875C gpu@73.281C/73.281C tj@74.187C/74.187C soc1@66.187C/66.187C cv2@64.375C/64.375C VDD_IN 25441mW/22690mW/25482mW VDD_CPU_GPU_CV 16840mW/14707mW/16840mW VDD_SOC 3628mW/3389mW/3669mW
08-10-2026 21:55:25 RAM 5142/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@69.718C/69.718C cpu@74.375C/74.375C soc2@66.625C/66.625C soc0@68.093C/68.093C cv1@68.906C/68.906C gpu@73.312C/73.312C tj@74.375C/74.375C soc1@66.156C/66.187C cv2@64.5C/64.5C VDD_IN 25361mW/22769mW/25482mW VDD_CPU_GPU_CV 16720mW/14766mW/16840mW VDD_SOC 3628mW/3396mW/3669mW
08-10-2026 21:55:26 RAM 5142/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@69.781C/69.781C cpu@74.281C/74.375C soc2@66.687C/66.687C soc0@68.156C/68.156C cv1@68.875C/68.906C gpu@73.593C/73.593C tj@74.281C/74.375C soc1@66.218C/66.218C cv2@64.531C/64.531C VDD_IN 25320mW/22842mW/25482mW VDD_CPU_GPU_CV 16680mW/14821mW/16840mW VDD_SOC 3628mW/3403mW/3669mW
08-10-2026 21:55:26 RAM 5141/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@70C/70C cpu@74.406C/74.406C soc2@66.75C/66.75C soc0@68.25C/68.25C cv1@68.906C/68.906C gpu@73.5C/73.593C tj@74.406C/74.406C soc1@66.343C/66.343C cv2@64.625C/64.625C VDD_IN 25361mW/22912mW/25482mW VDD_CPU_GPU_CV 16680mW/14872mW/16840mW VDD_SOC 3628mW/3409mW/3669mW
08-10-2026 21:55:27 RAM 5141/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@70.187C/70.187C cpu@74.437C/74.437C soc2@66.875C/66.875C soc0@68.343C/68.343C cv1@68.968C/68.968C gpu@73.593C/73.593C tj@74.437C/74.437C soc1@66.343C/66.343C cv2@64.718C/64.718C VDD_IN 25522mW/22982mW/25522mW VDD_CPU_GPU_CV 16880mW/14927mW/16880mW VDD_SOC 3628mW/3415mW/3669mW
08-10-2026 21:55:27 RAM 5140/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@70.187C/70.187C cpu@74.593C/74.593C soc2@66.843C/66.875C soc0@68.375C/68.375C cv1@69C/69C gpu@73.531C/73.593C tj@74.593C/74.593C soc1@66.468C/66.468C cv2@64.75C/64.75C VDD_IN 25441mW/23047mW/25522mW VDD_CPU_GPU_CV 16800mW/14976mW/16880mW VDD_SOC 3628mW/3421mW/3669mW
08-10-2026 21:55:28 RAM 5140/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@70.125C/70.187C cpu@74.562C/74.593C soc2@66.937C/66.937C soc0@68.531C/68.531C cv1@69.156C/69.156C gpu@73.75C/73.75C tj@74.562C/74.593C soc1@66.531C/66.531C cv2@64.781C/64.781C VDD_IN 25361mW/23106mW/25522mW VDD_CPU_GPU_CV 16680mW/15020mW/16880mW VDD_SOC 3669mW/3427mW/3669mW
08-10-2026 21:55:28 RAM 5140/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@70.25C/70.25C cpu@74.656C/74.656C soc2@67.031C/67.031C soc0@68.5C/68.531C cv1@69.156C/69.156C gpu@73.75C/73.75C tj@74.656C/74.656C soc1@66.5C/66.531C cv2@64.937C/64.937C VDD_IN 25401mW/23164mW/25522mW VDD_CPU_GPU_CV 16720mW/15062mW/16880mW VDD_SOC 3669mW/3433mW/3669mW
08-10-2026 21:55:29 RAM 5139/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@70.218C/70.25C cpu@74.687C/74.687C soc2@67.125C/67.125C soc0@68.593C/68.593C cv1@69.156C/69.156C gpu@73.937C/73.937C tj@74.687C/74.687C soc1@66.687C/66.687C cv2@64.968C/64.968C VDD_IN 25361mW/23217mW/25522mW VDD_CPU_GPU_CV 16720mW/15103mW/16880mW VDD_SOC 3669mW/3439mW/3669mW
