t_s,cumulative_gib,write_mbs
646.3,200.776,137.6
647.3,200.904,137.8
648.3,201.032,137.5
649.3,201.157,134.5
650.3,201.285,137.2
651.3,201.474,202.2
652.3,201.998,562.4
653.3,202.455,490.7
654.3,202.700,262.9
655.3,202.834,144.0
656.3,202.964,138.4
657.3,203.091,136.8
658.3,203.219,137.6
659.3,203.350,140.2
660.3,203.482,141.4
661.3,203.616,144.3
662.3,203.996,407.7
663.3,204.494,533.3
664.3,204.829,359.7
665.3,205.015,200.5
666.3,205.150,143.9
667.3,205.280,140.2
668.3,205.406,135.0
669.3,205.534,137.6
670.3,205.663,137.8
671.3,205.791,137.6
672.3,206.012,237.0
673.3,206.537,563.1
674.3,206.969,463.8
675.3,207.202,250.3
676.3,207.331,138.0
677.3,207.459,137.4
678.3,207.586,137.1
679.3,207.709,131.5
680.3,207.837,137.6
681.3,207.967,138.7
682.3,208.106,149.9
683.3,208.496,417.6
684.3,208.993,533.1
685.3,209.308,338.0
686.3,209.498,203.9
687.3,209.628,140.4
688.3,209.757,138.3
689.3,209.885,136.7
690.3,210.011,135.8
691.3,210.141,139.6
692.3,210.264,131.5
693.3,210.481,232.5
694.3,210.996,553.1
695.3,211.442,478.8
696.3,211.669,244.1
697.3,211.798,137.8
698.3,211.926,137.4
699.3,212.060,143.9
700.3,212.185,134.1
701.3,212.311,135.0
702.3,212.439,137.8
703.3,212.579,149.9
704.3,212.974,424.4
705.3,213.506,570.7
706.3,213.807,322.8
707.3,213.979,184.5
708.3,214.108,139.1
709.3,214.235,136.1
710.3,214.359,133.6
711.3,214.492,141.8
712.3,214.626,143.9
713.3,214.754,137.5
714.3,215.005,269.2
715.3,215.533,566.6
716.3,215.948,445.5
717.3,216.159,227.0
718.3,216.288,137.5
719.3,216.416,137.6
720.3,216.541,134.5
721.3,216.670,138.5
722.3,216.801,139.7
723.3,216.923,131.3
724.3,217.069,156.5
725.3,217.538,502.7
726.3,218.085,588.1
727.3,218.311,242.6
728.3,218.469,168.6
729.3,218.597,137.9
730.3,218.731,143.9
731.3,218.853,131.3
732.3,218.982,137.8
733.3,219.116,143.8
734.3,219.250,143.9
735.3,219.526,296.5
736.3,220.049,561.0
737.3,220.442,422.2
738.3,220.662,235.3
739.3,220.798,145.9
740.3,220.924,135.5
741.3,221.052,137.6
742.3,221.180,137.4
743.3,221.309,137.9
744.3,221.443,144.0
745.3,221.599,167.9
746.3,222.134,574.4
747.3,222.604,502.9
748.3,222.860,274.7
749.3,222.989,138.3
750.3,223.117,137.6
751.3,223.250,143.4
752.3,223.373,132.1
753.3,223.507,143.7
754.3,223.642,144.0
755.3,223.793,162.8
756.3,224.242,482.0
757.3,224.787,584.6
758.3,225.042,272.9
759.3,225.187,156.4
760.3,225.316,137.8
761.3,225.446,140.0
762.3,225.572,135.0
763.3,225.698,134.6
764.3,225.829,140.6
765.3,225.963,143.9
766.3,226.273,333.3
767.3,226.711,469.6
768.3,227.135,454.8
769.3,227.362,244.2
770.3,227.491,137.8
771.3,227.622,140.6
772.3,227.753,140.8
773.3,227.875,131.1
774.3,228.003,137.2
775.3,228.131,137.8
776.3,228.277,156.4
777.3,228.752,509.5
778.3,229.292,579.3
779.3,229.548,274.9
780.3,229.695,156.9
781.3,229.817,131.3
782.3,229.940,131.6
783.3,230.067,136.8
784.3,230.190,132.1
785.3,230.319,137.8
786.3,230.453,143.9
787.3,230.748,316.7
788.3,231.288,579.9
789.3,231.659,398.1
790.3,231.858,213.8
791.3,231.987,137.8
792.4,232.109,131.5
793.4,232.237,137.6
794.4,232.366,137.6
795.4,232.494,138.1
796.4,232.625,140.8
797.4,232.774,159.1
798.4,233.316,581.4
799.4,233.807,526.5
800.4,234.057,269.1
801.4,234.186,137.8
802.4,234.308,131.3
803.4,234.437,137.8
804.4,234.561,133.0
805.4,234.687,135.5
806.4,234.815,137.6
807.4,234.951,146.3
808.4,235.281,354.2
809.4,235.808,564.7
810.4,236.156,374.5
811.4,236.349,206.6
812.4,236.477,137.8
813.4,236.611,144.0
814.4,236.734,131.2
815.4,236.862,137.6
816.4,236.992,139.3
817.4,237.119,136.2
818.4,237.328,224.9
819.4,237.846,556.0
820.4,238.303,489.1
821.4,238.542,256.8
822.4,238.666,133.2
823.4,238.798,142.2
824.4,238.921,131.2
825.4,239.049,137.4
826.4,239.177,138.1
827.4,239.303,134.5
828.4,239.446,153.4
829.4,239.869,454.3
830.4,240.403,573.1
831.4,240.701,319.6
832.4,240.863,173.2
833.4,240.985,131.3
834.4,241.113,137.4
835.4,241.237,133.4
836.4,241.369,141.6
837.4,241.498,137.6
838.4,241.627,138.9
839.4,241.920,314.4
840.4,242.447,566.0
841.4,242.849,431.3
842.4,243.060,226.4
843.4,243.189,137.8
844.4,243.317,137.5
845.4,243.445,137.5
846.4,243.574,137.8
847.4,243.702,137.8
848.4,243.830,137.5
849.4,243.982,162.5
850.4,244.477,531.4
