08-10-2026 21:40:26 RAM 2629/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.812C/65.875C cpu@70.531C/70.531C soc2@62.406C/62.406C soc0@63.906C/63.906C cv1@65C/65C gpu@68.031C/68.031C tj@70.531C/70.531C soc1@62.468C/62.531C cv2@60.281C/60.312C VDD_IN 17569mW/16651mW/17650mW VDD_CPU_GPU_CV 11934mW/11046mW/11975mW VDD_SOC 2475mW/2438mW/2475mW
08-10-2026 21:40:27 RAM 2629/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.843C/65.875C cpu@70.343C/70.531C soc2@62.406C/62.406C soc0@63.875C/63.906C cv1@65.093C/65.093C gpu@67.906C/68.031C tj@70.343C/70.531C soc1@62.375C/62.531C cv2@60.406C/60.406C VDD_IN 17569mW/16680mW/17650mW VDD_CPU_GPU_CV 11934mW/11074mW/11975mW VDD_SOC 2475mW/2439mW/2475mW
08-10-2026 21:40:27 RAM 2629/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.906C/65.906C cpu@70.437C/70.531C soc2@62.406C/62.406C soc0@63.812C/63.906C cv1@64.968C/65.093C gpu@68.156C/68.156C tj@70.437C/70.531C soc1@62.406C/62.531C cv2@60.375C/60.406C VDD_IN 17569mW/16707mW/17650mW VDD_CPU_GPU_CV 11934mW/11100mW/11975mW VDD_SOC 2434mW/2439mW/2475mW
08-10-2026 21:40:28 RAM 2629/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.968C/65.968C cpu@70.312C/70.531C soc2@62.468C/62.468C soc0@63.812C/63.906C cv1@64.906C/65.093C gpu@68.031C/68.156C tj@70.312C/70.531C soc1@62.375C/62.531C cv2@60.375C/60.406C VDD_IN 17609mW/16734mW/17650mW VDD_CPU_GPU_CV 11934mW/11124mW/11975mW VDD_SOC 2475mW/2440mW/2475mW
08-10-2026 21:40:28 RAM 2629/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.843C/65.968C cpu@70.312C/70.531C soc2@62.406C/62.468C soc0@63.843C/63.906C cv1@65C/65.093C gpu@68.125C/68.156C tj@70.312C/70.531C soc1@62.593C/62.593C cv2@60.406C/60.406C VDD_IN 17609mW/16759mW/17650mW VDD_CPU_GPU_CV 11975mW/11149mW/11975mW VDD_SOC 2475mW/2441mW/2475mW
08-10-2026 21:40:29 RAM 2629/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.843C/65.968C cpu@70.406C/70.531C soc2@62.406C/62.468C soc0@63.968C/63.968C cv1@65.125C/65.125C gpu@67.968C/68.156C tj@70.406C/70.531C soc1@62.468C/62.593C cv2@60.312C/60.406C VDD_IN 17650mW/16783mW/17650mW VDD_CPU_GPU_CV 11975mW/11172mW/11975mW VDD_SOC 2475mW/2442mW/2475mW
08-10-2026 21:40:29 RAM 2629/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.843C/65.968C cpu@70.531C/70.531C soc2@62.531C/62.531C soc0@63.875C/63.968C cv1@65.093C/65.125C gpu@67.937C/68.156C tj@70.531C/70.531C soc1@62.531C/62.593C cv2@60.312C/60.406C VDD_IN 17650mW/16807mW/17650mW VDD_CPU_GPU_CV 12015mW/11194mW/12015mW VDD_SOC 2475mW/2443mW/2475mW
08-10-2026 21:40:30 RAM 2629/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.875C/65.968C cpu@70.593C/70.593C soc2@62.531C/62.531C soc0@63.968C/63.968C cv1@65.062C/65.125C gpu@68.062C/68.156C tj@70.593C/70.593C soc1@62.437C/62.593C cv2@60.312C/60.406C VDD_IN 17650mW/16829mW/17650mW VDD_CPU_GPU_CV 12015mW/11216mW/12015mW VDD_SOC 2475mW/2444mW/2475mW
08-10-2026 21:40:30 RAM 2629/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@66.062C/66.062C cpu@70.468C/70.593C soc2@62.437C/62.531C soc0@63.937C/63.968C cv1@65.062C/65.125C gpu@68C/68.156C tj@70.468C/70.593C soc1@62.468C/62.593C cv2@60.468C/60.468C VDD_IN 17650mW/16850mW/17650mW VDD_CPU_GPU_CV 12015mW/11236mW/12015mW VDD_SOC 2475mW/2444mW/2475mW
08-10-2026 21:40:31 RAM 2629/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@66.093C/66.093C cpu@70.437C/70.593C soc2@62.437C/62.531C soc0@63.906C/63.968C cv1@65.062C/65.125C gpu@68C/68.156C tj@70.437C/70.593C soc1@62.687C/62.687C cv2@60.468C/60.468C VDD_IN 17650mW/16870mW/17650mW VDD_CPU_GPU_CV 12015mW/11256mW/12015mW VDD_SOC 2475mW/2445mW/2475mW
